date	bin	turnover	price
20170705	1	9068.0	8895757.330246914
20170705	2	11167.0	8908805.837664934
20170705	3	10182.0	8927262.854873933
20170705	4	17631.0	8941018.05363561
20170705	5	8852.0	8968504.367641473
20170705	6	15137.5	8992139.76023976
20170705	7	13739.0	8994469.855786141
20170705	8	11347.5	8994406.813186813
20170705	9	10484.0	8987392.15361695
20170705	10	9666.5	8989874.830590513
20170705	11	11224.0	9000764.977834072
20170705	12	11383.5	9000353.218266811
20170705	13	10855.0	8995359.332140727
20170705	14	6318.0	8987146.095761113
20170705	15	7660.5	8983328.68473232
20170705	16	5250.5	8988637.495037714
20170705	17	6365.0	8979586.230931088
20170705	18	7761.0	8978545.13132035
20170705	19	10010.0	8979321.200196754
20170705	20	7355.0	8971427.189988624
20170705	21	11756.0	8979409.713636937
20170705	22	10604.0	8968636.239172954
20170705	23	11195.0	8960536.326831063
20170705	24	14936.0	8969120.667976424
20170705	25	14013.0	8968888.522588523
20170705	26	30494.5	8967206.414527709
20170706	1	26700.0	8914789.976001477
20170706	2	6598.0	8911075.009366805
20170706	3	13749.5	8908124.867337603
20170706	4	14904.0	8906724.64678179
20170706	5	12628.0	8918171.454545455
20170706	6	10583.5	8928622.591473648
20170706	7	15033.5	8938350.145631067
20170706	8	12048.0	8949473.52814783
20170706	9	6538.5	8943550.05444646
20170706	10	10437.0	8951157.347611202
20170706	11	5238.0	8939062.369451698
20170706	12	9407.0	8907900.028793551
20170706	13	10280.0	8907321.140529532
20170706	14	8291.0	8909891.069648199
20170706	15	5462.5	8909067.083027186
20170706	16	6362.0	8914288.389804166
20170706	17	4217.0	8907108.179705655
20170706	18	4405.5	8894835.4556804
20170706	19	11097.5	8895745.770491803
20170706	20	7640.5	8887198.035714285
20170706	21	12802.5	8886904.223169314
20170706	22	7556.0	8894252.03462085
20170706	23	10875.0	8894269.433246383
20170706	24	11533.0	8884495.7276519
20170706	25	19355.5	8877590.613718411
20170706	26	41096.5	8877205.020867586
20170707	1	4706.5	8935860.729118597
20170707	2	8108.5	8980525.779840166
20170707	3	10713.5	9000842.312474098
20170707	4	6568.0	8996663.805545006
20170707	5	9282.5	8988713.575717146
20170707	6	8622.0	8997212.67427123
20170707	7	12852.0	8972765.17560074
20170707	8	9899.5	8980989.320157161
20170707	9	6371.0	8981880.565263638
20170707	10	6294.5	8979834.539631706
20170707	11	5600.5	8987023.849372385
20170707	12	7260.0	8988677.911164466
20170707	13	8222.0	8993539.123242348
20170707	14	7205.5	8996977.198602213
20170707	15	6554.0	8992665.820551107
20170707	16	9652.0	8981790.886357322
20170707	17	10829.0	8972269.46537918
20170707	18	6927.5	8957232.059871703
20170707	19	4858.0	8963325.244937949
20170707	20	5590.0	8962230.37367158
20170707	21	8227.5	8959091.46221786
20170707	22	6484.0	8956969.368833948
20170707	23	5342.5	8947648.077768015
20170707	24	7276.5	8949943.82731021
20170707	25	8191.5	8948708.498875562
20170707	26	20442.5	8951042.301634714
20170710	1	11477.5	8948993.71099376
20170710	2	7241.0	8953052.349836642
20170710	3	7010.0	8956292.374727668
20170710	4	8963.5	8984844.803994082
20170710	5	10763.5	8982246.934189405
20170710	6	8303.5	8987187.273349298
20170710	7	13141.5	8992804.873130566
20170710	8	6808.5	8993596.340956341
20170710	9	9185.5	8996824.39391406
20170710	10	4722.5	8997012.036379138
20170710	11	8965.5	8992937.362772912
20170710	12	7212.5	8988109.340434248
20170710	13	9927.0	8981603.894873919
20170710	14	5893.5	8984481.45766345
20170710	15	6226.0	8990082.229965156
20170710	16	7128.5	8988617.978620019
20170710	17	9901.0	8996152.368972747
20170710	18	6614.0	8985830.73801952
20170710	19	7801.5	8981530.814873418
20170710	20	8351.5	8979499.514244454
20170710	21	7890.5	8983568.5287528
20170710	22	5238.0	8988205.032849882
20170710	23	6596.0	8987657.426812142
20170710	24	17269.5	8987652.362490913
20170710	25	8171.0	8995841.984732825
20170710	26	14361.5	8988928.084594568
20170711	1	6900.0	8383909.053916582
20170711	2	11583.5	9000303.510859864
20170711	3	12267.5	9001943.461685093
20170711	4	12741.0	9011251.503815651
20170711	5	12750.5	9015013.432835821
20170711	6	7229.0	8997495.742498076
20170711	7	11572.5	8979208.623643633
20170711	8	8201.0	8963674.485981308
20170711	9	4583.0	8968489.260563381
20170711	10	10708.0	8968184.164430004
20170711	11	6329.0	8940139.0993266
20170711	12	6133.0	8923109.168609168
20170711	13	6488.0	8925696.457808563
20170711	14	8549.5	8938288.307692308
20170711	15	11206.0	8926921.84217996
20170711	16	6642.5	8929807.078441381
20170711	17	8646.5	8938422.71215845
20170711	18	7524.5	8955770.6464998
20170711	19	12602.5	8952978.87751659
20170711	20	16536.0	8948271.347248577
20170711	21	10442.0	8947806.481315931
20170711	22	15046.5	8955433.171541704
20170711	23	9791.0	8961828.657774072
20170711	24	7262.5	8973106.816272652
20170711	25	21936.5	8970455.377982605
20170711	26	37613.0	8975342.37720821
20170712	1	19677.5	9084536.542239686
20170712	2	6821.5	9106692.744860943
20170712	3	9511.5	9095849.98967582
20170712	4	6987.5	9102918.336550271
20170712	5	7323.5	9082957.177468201
20170712	6	9208.5	9090658.216432866
20170712	7	9584.5	9118671.264541471
20170712	8	5758.5	9125918.326693228
20170712	9	8549.5	9123403.671596125
20170712	10	10845.0	9128986.86851211
20170712	11	9605.0	9136715.395894429
20170712	12	8438.0	9128297.549591599
20170712	13	5833.0	9128612.462908013
20170712	14	11940.0	9118779.19651199
20170712	15	7461.0	9120408.994708994
20170712	16	8307.0	9123856.263498921
